time,open,high,low,close,volume,ticker
2019-09-03,7730,7820,7690,7820,26750,ITD
2019-09-04,7730,7890,7730,7890,5210,ITD
2019-09-05,7890,7890,7690,7820,59820,ITD
2019-09-06,7690,7820,7690,7730,510,ITD
2019-09-09,7690,7820,7660,7730,7610,ITD
2019-09-10,7690,7730,7690,7730,14910,ITD
2019-09-11,7690,7730,7690,7690,5350,ITD
2019-09-12,7730,7760,7660,7760,47720,ITD
2019-09-13,7890,7890,7690,7730,10920,ITD
2019-09-16,7690,7690,7660,7660,15530,ITD
2019-09-17,7690,7690,7690,7690,17230,ITD
2019-09-18,7730,7760,7690,7760,21140,ITD
2019-09-19,7760,7760,7760,7760,7240,ITD
2019-09-20,7690,7730,7690,7690,133500,ITD
2019-09-23,7660,7820,7560,7590,78030,ITD
2019-09-24,7590,7630,7560,7590,115780,ITD
2019-09-25,7690,7690,7430,7430,92190,ITD
2019-09-26,7630,7630,7430,7430,27790,ITD
2019-09-27,7430,7630,7430,7530,6650,ITD
2019-09-30,7890,7890,7430,7460,25620,ITD
2019-10-01,7660,7820,7500,7500,9000,ITD
2019-10-02,7500,7500,7300,7500,25690,ITD
2019-10-03,7760,7760,7360,7400,14420,ITD
2019-10-04,7430,7430,7400,7400,1300,ITD
2019-10-07,7630,7630,7430,7590,150,ITD
2019-10-08,7460,7460,7400,7460,7990,ITD
2019-10-09,7460,7530,7430,7460,7940,ITD
2019-10-10,7530,7530,7430,7460,23790,ITD
2019-10-11,7460,7500,7460,7500,12630,ITD
2019-10-14,7460,7590,7460,7530,350,ITD
2019-10-15,7530,7590,7500,7590,14860,ITD
2019-10-16,7590,7590,7500,7500,4210,ITD
2019-10-17,7530,7530,7500,7500,2810,ITD
2019-10-18,7530,7530,7460,7460,15580,ITD
2019-10-21,7460,7530,7460,7530,3320,ITD
2019-10-22,7530,7530,7460,7460,9200,ITD
2019-10-23,7460,7500,7460,7460,7420,ITD
2019-10-24,7460,7530,7460,7500,840,ITD
2019-10-25,7560,7560,7430,7430,1350,ITD
2019-10-28,7460,7460,7430,7430,10400,ITD
2019-10-29,7430,7500,7430,7500,14880,ITD
2019-10-30,7430,7530,7430,7430,7280,ITD
2019-10-31,7430,7430,7330,7430,21500,ITD
2019-11-01,7430,7430,7430,7430,1400,ITD
2019-11-04,7400,7430,7400,7430,330,ITD
2019-11-05,7430,7460,7430,7460,500,ITD
2019-11-06,7500,7560,7500,7560,4400,ITD
2019-11-07,7590,7690,7560,7660,38410,ITD
2019-11-08,7690,7690,7560,7560,26160,ITD
2019-11-11,7590,7660,7560,7630,8170,ITD
2019-11-12,7630,7630,7590,7630,7210,ITD
2019-11-13,7630,7630,7590,7630,19510,ITD
2019-11-14,7630,7660,7560,7630,118240,ITD
